"S No.",Year,State,Industry,Count,"Last Update"
1,2023,"Andaman and Nicobar Islands","AR VR (Augmented + Virtual Reality)",2,"09-04-2023 04:00:03"
2,2023,"Andaman and Nicobar Islands",Automotive,1,"09-04-2023 04:00:03"
3,2023,"Andaman and Nicobar Islands",Construction,2,"09-04-2023 04:00:03"
4,2023,"Andhra Pradesh",Advertising,1,"09-04-2023 04:00:03"
5,2023,"Andhra Pradesh","Aeronautics Aerospace & Defence",1,"09-04-2023 04:00:03"
6,2023,"Andhra Pradesh",Agriculture,14,"09-04-2023 04:00:03"
7,2023,"Andhra Pradesh",Analytics,1,"09-04-2023 04:00:03"
8,2023,"Andhra Pradesh","AR VR (Augmented + Virtual Reality)",1,"09-04-2023 04:00:03"
9,2023,"Andhra Pradesh",Automotive,4,"09-04-2023 04:00:03"
10,2023,"Andhra Pradesh",Biotechnology,2,"09-04-2023 04:00:03"
11,2023,"Andhra Pradesh",Construction,17,"09-04-2023 04:00:03"
12,2023,"Andhra Pradesh",Education,15,"09-04-2023 04:00:03"
13,2023,"Andhra Pradesh","Enterprise Software",3,"09-04-2023 04:00:03"
14,2023,"Andhra Pradesh",Events,1,"09-04-2023 04:00:03"
15,2023,"Andhra Pradesh",Fashion,2,"09-04-2023 04:00:03"
16,2023,"Andhra Pradesh","Finance Technology",4,"09-04-2023 04:00:03"
17,2023,"Andhra Pradesh","Food & Beverages",5,"09-04-2023 04:00:03"
18,2023,"Andhra Pradesh","Green Technology",1,"09-04-2023 04:00:03"
19,2023,"Andhra Pradesh","Healthcare & Lifesciences",13,"09-04-2023 04:00:03"
20,2023,"Andhra Pradesh","House-Hold Services",2,"09-04-2023 04:00:03"
21,2023,"Andhra Pradesh","Human Resources",8,"09-04-2023 04:00:03"
22,2023,"Andhra Pradesh","Indic Language Startups",2,"09-04-2023 04:00:03"
23,2023,"Andhra Pradesh","Internet of Things",2,"09-04-2023 04:00:03"
24,2023,"Andhra Pradesh","IT Services",24,"09-04-2023 04:00:03"
25,2023,"Andhra Pradesh",Logistics,2,"09-04-2023 04:00:03"
26,2023,"Andhra Pradesh",Marketing,1,"09-04-2023 04:00:03"
27,2023,"Andhra Pradesh","Media & Entertainment",4,"09-04-2023 04:00:03"
28,2023,"Andhra Pradesh","Non- Renewable Energy",5,"09-04-2023 04:00:03"
29,2023,"Andhra Pradesh","Other Specialty Retailers",2,"09-04-2023 04:00:03"
30,2023,"Andhra Pradesh",Others,3,"09-04-2023 04:00:03"
31,2023,"Andhra Pradesh","Professional & Commercial Services",13,"09-04-2023 04:00:03"
32,2023,"Andhra Pradesh","Renewable Energy",3,"09-04-2023 04:00:03"
33,2023,"Andhra Pradesh",Retail,1,"09-04-2023 04:00:03"
34,2023,"Andhra Pradesh",Robotics,1,"09-04-2023 04:00:03"
35,2023,"Andhra Pradesh","Social Impact",1,"09-04-2023 04:00:03"
36,2023,"Andhra Pradesh","Social Network",1,"09-04-2023 04:00:03"
37,2023,"Andhra Pradesh","Technology Hardware",6,"09-04-2023 04:00:03"
38,2023,"Andhra Pradesh","Toys and Games",1,"09-04-2023 04:00:03"
39,2023,"Andhra Pradesh","Transportation & Storage",3,"09-04-2023 04:00:03"
40,2023,"Andhra Pradesh","Travel & Tourism",4,"09-04-2023 04:00:03"
41,2023,"Andhra Pradesh","Waste Management",1,"09-04-2023 04:00:03"
42,2023,"Arunachal Pradesh",Agriculture,2,"09-04-2023 04:00:03"
43,2023,"Arunachal Pradesh",Construction,1,"09-04-2023 04:00:03"
44,2023,"Arunachal Pradesh",Events,1,"09-04-2023 04:00:03"
45,2023,"Arunachal Pradesh","IT Services",1,"09-04-2023 04:00:03"
46,2023,"Arunachal Pradesh","Professional & Commercial Services",1,"09-04-2023 04:00:03"
47,2023,Assam,Advertising,1,"09-04-2023 04:00:03"
48,2023,Assam,Agriculture,10,"09-04-2023 04:00:03"
49,2023,Assam,Analytics,2,"09-04-2023 04:00:03"
50,2023,Assam,Animation,1,"09-04-2023 04:00:03"
51,2023,Assam,"AR VR (Augmented + Virtual Reality)",1,"09-04-2023 04:00:03"
52,2023,Assam,Automotive,5,"09-04-2023 04:00:03"
53,2023,Assam,Biotechnology,1,"09-04-2023 04:00:03"
54,2023,Assam,Chemicals,1,"09-04-2023 04:00:03"
55,2023,Assam,Construction,13,"09-04-2023 04:00:03"
56,2023,Assam,Education,3,"09-04-2023 04:00:03"
57,2023,Assam,"Enterprise Software",1,"09-04-2023 04:00:03"
58,2023,Assam,Events,1,"09-04-2023 04:00:03"
59,2023,Assam,Fashion,1,"09-04-2023 04:00:03"
60,2023,Assam,"Finance Technology",3,"09-04-2023 04:00:03"
61,2023,Assam,"Food & Beverages",6,"09-04-2023 04:00:03"
62,2023,Assam,"Green Technology",1,"09-04-2023 04:00:03"
63,2023,Assam,"Healthcare & Lifesciences",8,"09-04-2023 04:00:03"
64,2023,Assam,"Human Resources",1,"09-04-2023 04:00:03"
65,2023,Assam,"Internet of Things",1,"09-04-2023 04:00:03"
66,2023,Assam,"IT Services",7,"09-04-2023 04:00:03"
67,2023,Assam,Marketing,1,"09-04-2023 04:00:03"
68,2023,Assam,"Media & Entertainment",1,"09-04-2023 04:00:03"
69,2023,Assam,Nanotechnology,1,"09-04-2023 04:00:03"
70,2023,Assam,"Non- Renewable Energy",1,"09-04-2023 04:00:03"
71,2023,Assam,"Professional & Commercial Services",5,"09-04-2023 04:00:03"
72,2023,Assam,"Renewable Energy",1,"09-04-2023 04:00:03"
73,2023,Assam,Retail,1,"09-04-2023 04:00:03"
74,2023,Assam,"Social Impact",3,"09-04-2023 04:00:03"
75,2023,Assam,Sports,1,"09-04-2023 04:00:03"
76,2023,Assam,"Technology Hardware",1,"09-04-2023 04:00:03"
77,2023,Assam,"Textiles & Apparel",2,"09-04-2023 04:00:03"
78,2023,Assam,"Transportation & Storage",3,"09-04-2023 04:00:03"
79,2023,Assam,"Travel & Tourism",4,"09-04-2023 04:00:03"
80,2023,Bihar,Advertising,1,"09-04-2023 04:00:03"
